Ano,Mês,Dia,Ano,Mês,Dia,Ano,Mês,Dia,Ano,Mês,Dia
2018,junho,28,2017,julho,12,2017,julho,10,2018,junho,28
2018,junho,29,2017,julho,1,2017,junho,29,2018,junho,29
2018,junho,29,2017,julho,5,2017,julho,3,2018,junho,29
2018,junho,29,2017,julho,9,2017,julho,7,2018,junho,29
2018,junho,29,2017,julho,12,2017,julho,10,2018,junho,29
2018,julho,1,2017,julho,3,2017,julho,1,2018,julho,1
2018,julho,1,2017,julho,5,2017,julho,3,2018,julho,1
2018,julho,3,2017,julho,5,2017,julho,3,2018,julho,3
2018,julho,3,2017,julho,6,2017,julho,4,2018,julho,3
2018,julho,4,2017,julho,6,2017,julho,4,2018,julho,4
2018,julho,4,2017,julho,8,2017,julho,6,2018,julho,4
2018,julho,5,2017,julho,5,2017,julho,3,2018,julho,5
2018,julho,5,2017,julho,6,2017,julho,4,2018,julho,5
2018,julho,5,2017,julho,7,2017,julho,5,2018,julho,5
2018,julho,5,2017,julho,8,2017,julho,6,2018,julho,5
2018,julho,5,2017,julho,9,2017,julho,7,2018,julho,5
2018,julho,6,2017,julho,6,2017,julho,4,2018,julho,6
2018,julho,6,2017,julho,8,2017,julho,6,2018,julho,6
2018,julho,6,2017,julho,9,2017,julho,7,2018,julho,6
2018,julho,7,2017,julho,6,2017,julho,4,2018,julho,7
2018,julho,7,2017,julho,8,2017,julho,6,2018,julho,7
2018,julho,7,2017,julho,9,2017,julho,7,2018,julho,7
2018,julho,10,2017,julho,12,2017,julho,10,2018,julho,10
2018,julho,10,2017,julho,13,2017,julho,11,2018,julho,10
2018,julho,11,2017,julho,12,2017,julho,10,2018,julho,11
2018,julho,11,2017,julho,13,2017,julho,11,2018,julho,11
2018,julho,11,2017,julho,14,2017,julho,12,2018,julho,11
2018,julho,12,2017,julho,13,2017,julho,11,2018,julho,12
2018,julho,12,2017,julho,14,2017,julho,12,2018,julho,12
2018,julho,17,2017,julho,19,2017,julho,17,2018,julho,17
2018,julho,18,2017,julho,20,2017,julho,18,2018,julho,18
2018,julho,19,2017,julho,21,2017,julho,19,2018,julho,19
2018,julho,19,2017,julho,22,2017,julho,20,2018,julho,19
2018,julho,19,2017,julho,26,2017,julho,24,2018,julho,19
2018,julho,20,2017,julho,22,2017,julho,20,2018,julho,20
2018,julho,20,2017,julho,23,2017,julho,21,2018,julho,20
2018,julho,20,2017,julho,28,2017,julho,26,2018,julho,20
2018,julho,21,2017,julho,23,2017,julho,21,2018,julho,21
2018,julho,24,2017,julho,26,2017,julho,24,2018,julho,24
2018,julho,24,2017,julho,27,2017,julho,25,2018,julho,24
2018,julho,24,2017,julho,28,2017,julho,26,2018,julho,24
2018,julho,24,2017,agosto,11,2017,agosto,9,2018,julho,24
2018,julho,25,2017,julho,27,2017,julho,25,2018,julho,25
2018,julho,25,2017,julho,28,2017,julho,26,2018,julho,25
2018,julho,25,2017,julho,29,2017,julho,27,2018,julho,25
2018,julho,26,2017,julho,20,2017,julho,18,2018,julho,26
2018,julho,26,2017,julho,28,2017,julho,26,2018,julho,26
